id	north	south	east	west	high	low	name	scientific_name
5866	41.246	41.2244	-73.6784	-73.717	NULL	NULL	Bedford Hills, New York, USA	USA, New York, Bedford Hills
5867	44.8786	44.8546	-68.7269	-68.771	NULL	NULL	Rolland F. Perry City Forest, Bangor, Maine, USA	USA, Maine, Bangor, Rolland F. Perry City Forest
5868	18.1028	18.0754	-96.7326	-96.7635	NULL	NULL	La Agencia, Oaxaca, Mexico	Mexico, Oaxaca, La Agencia
5869	43.5949	43.0833	-70.2281	-70.6783	NULL	NULL	Rachel Carson National Wildlife Refuge, Wells, Maine, USA	USA, Maine, Wells, Rachel Carson National Wildlife Refuge
5870	41.489	41.285	-70.4279	-70.8453	NULL	NULL	Martha's Vineyard Island, Massachusetts, USA	USA, Massachusetts, Martha's Vineyard Island
5871	41.2454	41.2151	-73.6538	-73.7101	NULL	NULL	Bedford, New York, USA	USA, New York, Bedford
5872	43.3608	43.3445	-70.4597	-70.4918	NULL	NULL	Franciscan Monastery, Kennebunk, Maine, USA	USA, Maine, Kennebunk, Franciscan Monastery
5873	39.6896	39.6518	-105.508	-105.538	NULL	NULL	Chief Mountain Trail, Clear Creek Co., Colorado, USA	USA, Colorado, Clear Creek Co., Chief Mountain Trail
5874	48.8121	48.7728	-89.107	-89.1287	473.185	460.185	McLeish Lake, Thunder Bay, Ontario, Canada	Canada, Ontario, Thunder Bay, McLeish Lake
5875	48.3559	48.3491	-123.541	-123.548	NULL	NULL	Witty's Lagoon, Metchosin, British Columbia, Canada	Canada, British Columbia, Metchosin, Witty's Lagoon
5876	38.4432	38.4261	-119.995	-120.013	NULL	NULL	Utica Reservoir, Stanislaus National Forest, California, USA	USA, California, Stanislaus National Forest, Utica Reservoir
5877	40.5762	40.5594	-79.8965	-79.9258	NULL	NULL	Hartwood Acres Park, Allegheny Co., Pennsylvania, USA	USA, Pennsylvania, Allegheny Co., Hartwood Acres Park
5878	35.7025	35.6857	-83.4848	-83.5054	NULL	NULL	Cherokee Orchard Loop, Great Smoky Mountains National Park, Tennessee, USA	USA, Tennessee, Great Smoky Mountains National Park, Cherokee Orchard Loop
5879	37.2302	36.9157	-88.8162	-89.1828	NULL	NULL	Ballard Co., Kentucky, USA	USA, Kentucky, Ballard Co.
5880	44.1712	43.5271	-69.8571	-70.8664	NULL	NULL	Franklin Co., Maine, USA	USA, Maine, Franklin Co.
5881	44.7546	44.2041	-68.8006	-69.5068	NULL	NULL	Waldo Co., Maine, USA	USA, Maine, Waldo Co.
5882	44.1677	43.6952	-69.6955	-70.0516	NULL	NULL	Sagadahoc Co., Maine, USA	USA, Maine, Sagadahoc Co.
5883	64.4702	64.4606	12.3309	12.2989	NULL	NULL	Grong, Nord-Trøndelag, Norway	Norway, Nord-Trøndelag, Grong
5884	49.7605	49.7461	-114.619	-114.651	NULL	NULL	Mount Ward, Alberta, Canada	Canada, Alberta, Mount Ward
5885	34.9837	34.9455	-85.3444	-85.3784	NULL	NULL	Lookout Mountain, Dade Co., Georgia, USA	USA, Georgia, Dade Co., Lookout Mountain
5886	8.71136	8.70593	-79.7848	-79.7855	100	5	Monte Oscuro, Panama province, Panama	Panama, Panama province, Monte Oscuro
5887	45.9323	45.9168	-121.359	-121.391	NULL	NULL	Conboy Wildlife Refuge, Klickitat Co., Washington, USA	USA, Washington, Klickitat Co., Conboy Wildlife Refuge
5888	33.7699	33.7651	-118.401	-118.411	NULL	NULL	small canyon at top of Paseo Lunado, Palos Verdes, Los Angeles Co., California, USA	USA, California, Los Angeles Co., Palos Verdes, small canyon at top of Paseo Lunado
5889	33.7978	33.788	-118.404	-118.413	NULL	NULL	Bluff Cove, Palos Verdes, Los Angeles Co., California, USA	USA, California, Los Angeles Co., Palos Verdes, Bluff Cove
5890	33.7417	33.7358	-118.368	-118.376	NULL	NULL	Secret Cove, Palos Verdes, Los Angeles Co., California, USA	USA, California, Los Angeles Co., Palos Verdes, Secret Cove
5891	33.7516	33.7438	-118.411	-118.415	NULL	NULL	cliff tops north of Point Vincente, Palos Verdes, Los Angeles Co., California, USA	USA, California, Los Angeles Co., Palos Verdes, cliff tops north of Point Vincente
5892	46.8733	46.8652	-121.512	-121.522	NULL	NULL	Lake Tipsoo, Highway 410, Pierce Co., Washington, USA	USA, Washington, Pierce Co., Highway 410, Lake Tipsoo
5893	40.8981	40.8954	-72.3721	-72.3748	NULL	NULL	Hampton Rd. near Flying Point Rd., Hamptons, New York, USA	USA, New York, Hamptons, Hampton Rd. near Flying Point Rd.
5894	42.0576	42.0412	-85.8522	-85.8732	NULL	NULL	Fish Lake, Marcellus, Michigan, USA	USA, Michigan, Marcellus, Fish Lake
5895	34.2523	34.2385	-118.092	-118.108	NULL	NULL	San Gabriel Peak, San Gabriel Mountains, Los Angeles Co., California, USA	USA, California, Los Angeles Co., San Gabriel Mountains, San Gabriel Peak
5896	39.9479	39.6481	-104.682	-105.192	NULL	NULL	Denver, Colorado, USA	USA, Colorado, Denver
5897	64.2342	63.6642	-148.18	-149.664	NULL	NULL	Healy, Alaska, USA	USA, Alaska, Healy
5898	-37.3243	-37.5424	144.61	144.245	NULL	NULL	Macedon Ranges, Victoria, Australia	Australia, Victoria, Macedon Ranges
5899	43.717	43.6992	-71.5042	-71.5268	NULL	NULL	Chamberlain-Reynolds Memorial Forest, Center Harbor, Belknap Co., New Hampshire, USA	USA, New Hampshire, Belknap Co., Center Harbor, Chamberlain-Reynolds Memorial Forest
5900	18.6311	16.6311	-62.237	-64.237	NULL	NULL	Site 2 Saba Island, Dutch Caribbean, Netherlands	Netherlands, Dutch Caribbean, Site 2 Saba Island
5901	38.4907	38.4732	-90.8082	-90.8402	NULL	NULL	Shaw Nature Reserve, Franklin Co, Missouri, USA	USA, Missouri, Franklin Co, Shaw Nature Reserve
5902	39.1347	38.9912	-79.4215	-79.6165	NULL	NULL	Canaan Valley State Park, West Virginia, USA	USA, West Virginia, Canaan Valley State Park
5903	39.0697	38.9605	-79.3007	-79.4257	NULL	NULL	Dolly Sods, Monongahela National Forest, West Virginia, USA	USA, West Virginia, Monongahela National Forest, Dolly Sods
5904	18.1313	18.1056	-96.752	-96.7779	NULL	NULL	Rio Santiago, Oaxaca, Mexico	Mexico, Oaxaca, Rio Santiago
5905	18.1442	18.1432	-96.8553	-96.8564	NULL	NULL	Rancho Aguardiente, Huautla de Jiminez, Oaxaca, Mexico	Mexico, Oaxaca, Huautla de Jiminez, Rancho Aguardiente
5906	48.5084	48.1551	-120.221	-120.673	NULL	NULL	Lake Chelan-Sawtooth Wilderness, Washington, USA	USA, Washington, Lake Chelan-Sawtooth Wilderness
5907	32.9736	32.6685	-79.7972	-80.1438	NULL	NULL	Audubon Center and Sanctuary at the Francis Beidler Forest, Charleston, South Carolina, USA	USA, South Carolina, Charleston, Audubon Center and Sanctuary at the Francis Beidler Forest
5908	33.2206	33.2206	-80.3541	-80.3541	NULL	NULL	336 Sanctuary Road Harleyville, South Carolina, USA	USA, South Carolina, 336 Sanctuary Road Harleyville
5909	33.5817	33.46	-81.896	-82.011	NULL	NULL	Rapids Neighborhood North Augusta, South Carolina, USA	USA, South Carolina, Rapids Neighborhood North Augusta
5910	33.0431	32.9254	-79.5926	-79.719	NULL	NULL	Francis Marion National Forest Awendaw, South Carolina, USA	USA, South Carolina, Francis Marion National Forest Awendaw
5911	49	48.9295	-114.881	-114.941	2387	NULL	Ten Lakes Scenic Area, Kootenai National Forest, Montana, USA	USA, Montana, Kootenai National Forest, Ten Lakes Scenic Area
5912	43.4906	43.4801	-72.3932	-72.4042	NULL	NULL	Windsor Town Forest, Windsor Co, Windsor, Vermont, USA	USA, Vermont, Windsor, Windsor Co, Windsor Town Forest
5913	35.6551	35.6283	-83.4268	-83.4539	NULL	NULL	Alum Cave Trail, Great Smoky Mountains National Park, Sevier Co., Tennessee, USA	USA, Tennessee, Sevier Co., Great Smoky Mountains National Park, Alum Cave Trail
5914	37.7979	37.797	-122.398	-122.4	NULL	NULL	Front st @ Jackson st, San Francisco, California, USA	USA, California, San Francisco, Front st @ Jackson st
